Location;Number of Containers;Number of Services;Total Volume Emptied;Avg Fill at Service;Avg Days Between Services;Avg Daily Fill Rate;Avg Days to Full;Avg Days Overflowing
Shawfield;5;12;8753,939769;0,775467988;11,59002149;10,53738322;34,18973161;-22,59971012
Harding;8;19;11924,8514;0,719752557;6,236574074;61,46882621;7,565776665;-1,329202591
Fitzgerald;12;20;13495,36531;0,771215865;4,482449846;82,652156;5,342940987;-0,860491142
Wellbeck;3;28;16374,38441;0,624239384;2,964723611;66,38128025;4,903111175;-1,938387563
Hornbill;14;52;34872,80811;0,773991813;6,114021991;32,39988967;6,865717544;-0,751695553
Winnipeg;3;16;12652,75573;0,820984174;4,423443732;68,9925516;4,306018302;0,11742543
Melbourne;10;31;14333,54097;0,60590401;3,087830751;54,40645693;6,084916515;-2,997085763
Ottawa;6;16;10134,83468;0,678501265;5,695822724;63,27040645;11,50204164;-5,806218918
Hilton;11;47;29523,06018;0,710690298;5,51482028;15,45589186;7,512444401;-1,997624121
Milner;7;19;14409,41671;0,859457147;1,363804977;159,1856376;1,554096269;-0,190291293
Pfagan;1;0;0;;;;;
Westport;5;19;11131,60255;0,691257193;4,72193287;67,57280879;10,18496445;-5,46303158
Barnes;2;11;4864,36216;0,516942668;5,049302984;16,28158764;7,549991193;-2,50068821
Ladyc;8;44;34572,38161;0,778968538;5,924116834;119,2805593;8,316667752;-2,392550919
Barnsfield;9;38;31727,01474;0,834952512;3,346696325;77,76061101;4,18317847;-0,836482144
Suttcliffe;5;20;12933,74512;0,750810603;2,878413671;98,75423439;4,782473278;-1,904059607
Broadmead;2;10;8455,240734;0,808584105;6,496793981;38,62173708;6,641957412;-0,14516343
Devonshire;9;35;26408,32514;0,835959395;6,805841346;12,66381936;6,911273576;-0,10543223
Wellings;10;9;7866,748145;0,836957003;7,289541997;14,01700151;7,666625454;-0,377083456
Hawke;5;26;17342,14553;0,739683478;5,259447751;41,37660973;6,458756226;-1,199308474
Efry;9;31;20535,46159;0,753559122;5,541441727;35,36550242;6,540408984;-0,998967257
Barnhill;4;2;1105,76066;0,571438831;0,197835648;131,3249779;0,609175812;-0,411340164
Addison;21;61;37878,78462;0,680405526;5,754628623;22,90521483;8,039231222;-2,284602599
Fagan;6;10;7759,021059;0,795229507;11,1403588;7,712935455;13,06006824;-1,919709447
Colley;10;34;21878,39298;0,72360465;6,534576903;18,97443263;7,853662054;-1,319085151
Aspen;15;36;24475,19109;0,742195862;6,049717771;25,98725798;8,993245734;-2,943527963
Greatfields;10;37;18135,20597;0,609301252;3,034716249;46,9662404;5,832868491;-2,798152242
Cochrane;4;16;13294,94681;0,809595817;5,058001246;19,63836387;5,249167947;-0,1911667
Groves;2;8;5486,068591;0,724004988;5,957827932;14,84062894;6,536493177;-0,578665245
Glenister;13;24;18589,82352;0,858990818;7,524135159;11,24416401;7,703552983;-0,179417824
Gurney;8;13;9599,123826;0,835748333;9,358541667;9,142557525;9,732961046;-0,374419379
Hoskins;3;4;3869,272005;0,906720161;6,995875772;12,78263089;6,264247291;0,73162848
Auckland;5;19;13212,30316;0,788200772;4,895224868;56,64400638;11,22795154;-6,332726673
Lister;7;19;14731,60617;0,861046623;9,005194279;10,16803173;8,68895196;0,316242319
Napier;5;22;11021,95446;0,565137585;3,028783504;47,85038173;5,584956747;-2,556173243
Alberta;4;9;5658,740332;0,686451024;6,601444444;69,10332795;12,89885418;-6,297409739
Perth;6;18;13555,36746;0,855674163;7,639364316;39,0885466;7,804805109;-0,165440793
Clynes;5;8;5446,456638;0,710280016;9,576997685;8,49562557;12,91743699;-3,340439305
Dickens;4;1;756,7254672;0,973642705;;;;
Graham;2;3;1796,469967;0,640787724;9,641909722;5,284445728;15,15557428;-5,513664558
Langthorne;8;14;10653,20933;0,847165393;9,640963542;9,593729876;10,62291398;-0,981950439
Whitethorne;3;10;6113,506003;0,66887707;6,579171007;18,5094394;6,765751052;-0,186580045
Sydney;5;24;15222,89033;0,700996313;5,078281829;26,79734081;7,250991818;-2,172709989
Lyttleton;5;27;16756,85053;0,695643428;3,2628125;41,58889794;4,283265109;-1,020452609
Greenway;4;12;8265,223058;0,755004428;4,886008102;20,08306628;5,794840287;-0,908832185
Owen;6;19;15409,42473;0,823259252;4,081637008;205,6019091;4,269700962;-0,188063954
Coltrane;1;3;2757,279199;0,896400699;10,51977431;9,302467253;10,21403856;0,305735746
