Location;Number of Containers;Number of Services;Total Volume Emptied;Avg Fill at Service;Avg Days Between Services;Avg Daily Fill Rate;Avg Days to Full;Avg Days Overflowing
Shawfield;5;15;11885,94138;0,88768813;7,632403199;11,8988761;7,365413811;0,266989388
Harding;8;14;10825,938;0,781182673;6,777178498;10,95468774;8,275851528;-1,49867303
Fitzgerald;12;15;11269,24146;0,828340463;8,855932356;28,97444911;8,559113341;0,296819015
Wellbeck;3;6;3571,931275;0,597305812;7,941970486;8,929348395;14,0528934;-6,110922912
Hornbill;14;33;23598,01711;0,831908556;7,796739487;14,04488575;8,451846161;-0,655106674
Winnipeg;3;11;7575,498579;0,749195895;6,227378472;11,51843825;7,797608028;-1,570229556
Melbourne;10;13;9450,646563;0,807877869;6,991532118;9,990197197;10,49067524;-3,499143123
Ottawa;6;11;9361,572741;0,809945317;7,794247685;10,17942065;9,415688813;-1,621441128
Hilton;11;34;22959,94517;0,733880952;8,316478106;10,00440896;10,51379031;-2,1973122
Milner;7;3;2755,498586;0,867802976;12,49893519;8,916679024;10,92302302;1,575912168
Pfagan;1;0;0;;;;;
Westport;5;12;9246,00758;0,84258349;6,020042438;17,87631044;5,813165028;0,20687741
Barnes;2;8;5275,067129;0,740192379;4,812073688;15,97310024;5,857514962;-1,045441274
Ladyc;8;20;15278,54967;0,768398907;8,147087785;21,19245546;9,461853464;-1,314765679
Barnsfield;9;16;11751,62684;0,768874412;6,33071412;12,55806176;7,071641885;-0,740927765
Suttcliffe;5;7;5377,576345;0,831851217;6,753604167;12,92579278;6,261054007;0,49255016
Broadmead;2;9;7766,143511;0,809528369;6,581248347;11,50717613;7,045926123;-0,464677776
Devonshire;9;31;25192,62467;0,870847552;7,399443918;11,93028655;7,015338434;0,384105485
Wellings;10;5;4626,035055;0,901708756;12,0926794;6,853374894;11,7057785;0,386900903
Hawke;5;12;10026,13581;0,894682255;6,736788194;19,96992482;6,669849964;0,06693823
Efry;9;30;24380,50287;0,866017905;7,635348274;11,97586494;7,47433724;0,161011034
Barnhill;4;0;0;;;;;
Addison;21;55;37225,54764;0,754424742;6,496836227;21,54018668;8,617460082;-2,120623855
Fagan;6;7;5294,652695;0,815463746;8,491359954;8,699896147;10,14801905;-1,656659094
Colley;10;17;12732,5547;0,810169517;7,546827652;10,59309352;9,062528422;-1,51570077
Aspen;15;26;19470,18967;0,832848679;7,827609954;10,55453904;8,341686313;-0,51407636
Greatfields;10;29;17540,47484;0,72865322;5,252324735;18,53996516;7,04768795;-1,795363214
Cochrane;4;15;11890,93348;0,781740015;4,856390818;41,46763802;5,288737052;-0,432346234
Groves;2;7;6475,199101;0,889810119;7,79730787;11,96226542;7,561423817;0,235884053
Glenister;13;26;18905,61013;0,826773805;7,019029064;13,41249073;8,440652733;-1,421623669
Gurney;8;14;11108,84603;0,898667939;7,50124537;11,20172224;8,116742578;-0,615497208
Hoskins;3;5;4489,815628;0,887983256;6,486684028;12,73604114;6,341805173;0,144878854
Auckland;5;18;14247,21156;0,874211462;6,901680912;18,6692671;6,512795743;0,388885168
Lister;7;16;11832,48475;0,819287137;8,096488847;10,21953849;8,732388281;-0,635899434
Napier;5;5;4088,461814;0,817358374;6,988993056;10,87098066;7,359041698;-0,370048642
Alberta;4;15;10825,51222;0,770405557;6,465300926;23,6720396;7,704878797;-1,239577871
Perth;6;14;10495,00857;0,834970054;7,791631944;10,8293109;8,255203674;-0,46357173
Clynes;5;4;2820,49096;0,698914533;13,20884838;4,565609889;18,79731131;-5,588462934
Dickens;4;4;2950,450652;0,933353697;7,013221451;11,07951653;7,233628673;-0,220407222
Graham;2;4;2112,893058;0,614806962;8,919795525;16,20889526;18,85515394;-9,935358414
Langthorne;8;20;15453,35408;0,865901192;7,940903604;10,63350384;8,983105532;-1,042201927
Whitethorne;3;3;2341,538826;0,904109651;18,98770833;4,901686667;16,32091267;2,666795668
Sydney;5;13;10008,97864;0,834789;5,470564815;18,93120627;5,157775467;0,312789348
Lyttleton;5;15;12035,70925;0,865623074;5,600515046;18,87830469;6,224924631;-0,624409585
Greenway;4;9;5744,219659;0,698306137;5,597700066;14,57748244;6,313953882;-0,716253816
Owen;6;16;13996,50833;0,846927986;7,750163966;10,75842041;8,054598008;-0,304434042
Coltrane;1;4;3347,552402;0,866656369;7,33961034;12,14320767;7,374931361;-0,035321022
