Location;Number of Containers;Number of Services;Total Volume Emptied;Avg Fill at Service;Avg Days Between Services;Avg Daily Fill Rate;Avg Days to Full;Avg Days Overflowing
Shawfield;5;10;6919,02896;0,710026121;6,993964947;11,25909337;12,3690987;-5,37513375
Harding;8;28;17736,64113;0,691968533;4,795355324;27,30972155;5,326605606;-0,531250282
Fitzgerald;12;23;14528,4147;0,709992644;4,749008247;26,15479358;7,294073248;-2,545065002
Wellbeck;3;26;15890,75666;0,659931073;3,506369263;50,75900632;4,814563131;-1,308193868
Hornbill;14;45;34097,05572;0,818420955;7,883265643;12,71283615;8,608144037;-0,724878394
Winnipeg;3;15;12022,91149;0,824302999;4,611521026;56,01390495;5,369682193;-0,758161166
Melbourne;10;8;6419,802894;0,865300675;11,65851852;7,455645668;11,28092086;0,377597662
Ottawa;6;20;19002,70172;0,895672267;3,309972086;137,4008466;3,126900974;0,183071112
Hilton;11;47;31616,62611;0,728048392;6,869806369;11,76361547;11,15738395;-4,287577578
Milner;7;17;9751,917592;0,700978735;3,008625165;53,01983703;4,456938866;-1,448313701
Pfagan;1;0;0;;;;;
Westport;5;13;9246,324019;0,764787468;4,979972994;17,54650018;5,910452827;-0,930479833
Barnes;2;12;6851,519529;0,652083707;4,201673611;31,74050159;6,267449269;-2,065775657
Ladyc;8;26;21010,34285;0,78420963;5,195249147;44,45854437;6,054285748;-0,859036601
Barnsfield;9;29;22475,36852;0,788140547;6,912723765;16,51278278;8,057705982;-1,144982217
Suttcliffe;5;9;5756,226209;0,715006519;1,674854167;251,0850453;2,176866999;-0,502012833
Broadmead;2;9;7755,459833;0,827694219;7,302857143;10,82394981;7,836852162;-0,533995019
Devonshire;9;35;24265,04043;0,780781909;6,032230235;13,44798554;6,731613771;-0,699383536
Wellings;10;16;12250,33597;0,8262288;4,954845679;24,80245416;15,34365848;-10,3888128
Hawke;5;21;14812,65467;0,778830306;3,777625868;36,60049328;4,114524666;-0,336898798
Efry;9;23;15876,66725;0,756451068;6,200763889;15,36801745;6,956940908;-0,756177019
Barnhill;4;3;2634,416904;0,882641417;6,988894676;10,93849143;7,403008313;-0,414113638
Addison;21;60;42977,04014;0,761376512;5,340215962;36,36817365;7,654549115;-2,314333153
Fagan;6;20;13566,49029;0,736590684;3,786064815;31,49869254;6,230428626;-2,444363811
Colley;10;29;19373,91342;0,728130953;6,270903935;12,27143202;7,656396299;-1,385492364
Aspen;15;40;26903,95845;0,738796744;4,600665923;63,57679396;5,365511576;-0,764845653
Greatfields;10;33;22278,63337;0,766090285;4,511855878;60,33695592;4,91532374;-0,403467863
Cochrane;4;16;13140,03348;0,816576629;5,003507835;23,17299628;5,175346697;-0,171838863
Groves;2;7;6014,020339;0,872466486;8,422178241;33,26690061;8,154451903;0,267726338
Glenister;13;25;17375,508;0,799095901;5,74236043;34,08622651;6,435476201;-0,69311577
Gurney;8;14;11449,47997;0,866469611;9,625587384;9,606340122;9,577827249;0,047760135
Hoskins;3;5;4498,939405;0,904191761;7,00976466;11,91584061;6,80260889;0,207155771
Auckland;5;14;9945,699481;0,810530111;5,326340278;33,86248704;6,930956242;-1,604615965
Lister;7;13;10331,50613;0,876097164;8,008088624;10,95725334;7,63197468;0,376113944
Napier;5;23;13464,72034;0,652277711;2,526092836;40,66610696;3,601564577;-1,075471741
Alberta;4;10;7723,527742;0,804275444;4,671400463;46,60532957;4,802561236;-0,131160773
Perth;6;19;14027,26831;0,84746255;8,397592593;11,51104688;8,707565853;-0,30997326
Clynes;5;13;8611,357763;0,706883168;6,655761317;20,58040405;9,75042211;-3,094660793
Dickens;4;5;3948,97182;0,787273757;4,669587191;174,0583021;6,718572774;-2,048985583
Graham;2;1;556,3949646;0,597109921;;;;
Langthorne;8;21;14502,19736;0,768028323;6,760450562;14,41707574;7,479028542;-0,71857798
Whitethorne;3;9;5335,811329;0,712412627;1,038491512;71,1427415;1,652135237;-0,613643724
Sydney;5;19;11354,26004;0,665598512;2,162067419;63,23827666;2,563633521;-0,401566102
Lyttleton;5;20;14691,72812;0,798258661;3,267729167;28,06348892;3,890313341;-0,622584174
Greenway;4;22;9761,88787;0,520876908;2,922548225;38,49599354;5,276663008;-2,354114783
Owen;6;22;11971,51375;0,620657136;3,125280993;88,8367563;5,019040797;-1,893759804
Coltrane;1;3;2332,603003;0,799815935;6,54615162;11,32860032;7,838452243;-1,292300622
