Location;<50%;50%-80%;>80%
Shawfield;0,166666667;0,166666667;0,666666667
Harding;0,210526316;0,315789474;0,473684211
Wellbeck;0,321428571;0,464285714;0,214285714
Hornbill;0,173076923;0,173076923;0,653846154
Winnipeg;0,0625;0,1875;0,75
Melbourne;0,387096774;0,290322581;0,322580645
Hilton;0,234042553;0,234042553;0,531914894
Barnes;0,454545455;0,454545455;0,090909091
Ladyc;0,113636364;0,25;0,636363636
Broadmead;0,1;0,1;0,8
Devonshire;0,114285714;0,057142857;0,828571429
Hawke;0,192307692;0,192307692;0,615384615
Efry;0,193548387;0,193548387;0,612903226
Westport;0,368421053;0,052631579;0,578947368
Addison;0,245901639;0,426229508;0,327868852
Fagan;0,1;0,2;0,7
Colley;0,176470588;0,294117647;0,529411765
Aspen;0,194444444;0,194444444;0,611111111
Greatfields;0,486486486;0,162162162;0,351351351
Groves;0,25;0,125;0,625
Gurney;0;0,384615385;0,615384615
Cochrane;0,125;0,125;0,75
Fitzgerald;0,2;0,1;0,7
Ottawa;0,375;0,0625;0,5625
Auckland;0,157894737;0,105263158;0,736842105
Lister;0;0,210526316;0,789473684
Glenister;0;0,125;0,875
Alberta;0,222222222;0,444444444;0,333333333
Perth;0,055555556;0,166666667;0,777777778
Milner;0,105263158;0,052631579;0,842105263
Suttcliffe;0,25;0,1;0,65
Barnsfield;0,078947368;0,157894737;0,763157895
Langthorne;0;0,285714286;0,714285714
Whitethorne;0,3;0,1;0,6
Dickens;0;0;1
Sydney;0,291666667;0,166666667;0,541666667
Clynes;0;0,625;0,375
Lyttleton;0,296296296;0,222222222;0,481481481
Napier;0,5;0,227272727;0,272727273
Greenway;0,083333333;0,25;0,666666667
Graham;0,333333333;0,333333333;0,333333333
Wellings;0;0,333333333;0,666666667
Owen;0,052631579;0,315789474;0,631578947
Coltrane;0;0;1
Hoskins;0;0;1
Barnhill;0,5;0;0,5
