Location;<50%;50%-80%;>80%
Shawfield;0;0,133333333;0,866666667
Harding;0,142857143;0,214285714;0,642857143
Hornbill;0,090909091;0,212121212;0,696969697
Winnipeg;0,181818182;0,363636364;0,454545455
Melbourne;0,076923077;0,153846154;0,769230769
Hilton;0,147058824;0,352941176;0,5
Barnes;0,125;0,375;0,5
Ladyc;0,1;0,3;0,6
Broadmead;0,111111111;0,333333333;0,555555556
Devonshire;0,032258065;0,096774194;0,870967742
Wellings;0;0;1
Efry;0,033333333;0,1;0,866666667
Addison;0,109090909;0,363636364;0,527272727
Fagan;0;0,428571429;0,571428571
Colley;0,117647059;0,176470588;0,705882353
Aspen;0,038461538;0,307692308;0,653846154
Greatfields;0,24137931;0,275862069;0,482758621
Westport;0;0,166666667;0,833333333
Groves;0;0,142857143;0,857142857
Gurney;0;0,071428571;0,928571429
Cochrane;0,066666667;0,466666667;0,466666667
Fitzgerald;0,066666667;0,266666667;0,666666667
Ottawa;0,090909091;0,181818182;0,727272727
Auckland;0;0,111111111;0,888888889
Lister;0,0625;0,1875;0,75
Glenister;0,115384615;0,076923077;0,807692308
Napier;0;0,4;0,6
Alberta;0,133333333;0,266666667;0,6
Perth;0;0,214285714;0,785714286
Milner;0;0,333333333;0,666666667
Barnsfield;0,1875;0,1875;0,625
Langthorne;0,05;0,25;0,7
Whitethorne;0;0;1
Suttcliffe;0,142857143;0;0,857142857
Dickens;0;0;1
Sydney;0,076923077;0,153846154;0,769230769
Lyttleton;0,066666667;0,066666667;0,866666667
Clynes;0;0,75;0,25
Hawke;0;0,083333333;0,916666667
Greenway;0,333333333;0,222222222;0,444444444
Graham;0,25;0,75;0
Wellbeck;0,166666667;0,666666667;0,166666667
Owen;0;0,3125;0,6875
Coltrane;0;0;1
Hoskins;0;0;1
