serial_no;container_id;fill_before_serviced;fill_after_serviced;fill_drop;volume_emptied;adjusted_service_ts;original_service_ts;detected_by;container_name;content_type;container_type;location;device_offset;total_distance;capacity_height;capacity_volume;width;latitude;longitude;coordinates;week_num;day_of_week;week_start_date;prev_service_ts;prev_fill_after_serviced;time_diff_days;fill_rate_per_day;days_to_full;days_overflowing
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;54,47447447;4,864864865;49,60960961;1339,459459;2020-12-02 00.01.55;2020-12-02 00.01.55;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;49;3;2020-11-29;;;;;;
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;65,22522523;4,024024024;61,2012012;1652,432432;2020-12-05 00.31.28;2020-12-05 00.01.28;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;49;6;2020-11-29;2020-12-02 00.01.55;4,864864865;3,020520833;19,98342792;4,003317164;-0,982796331
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;91,23123123;5,705705706;85,52552553;2309,189189;2020-12-07 03.00.55;2020-12-07 02.30.55;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;50;1;2020-12-06;2020-12-05 00.31.28;4,024024024;2,103784722;41,45253375;1,929918216;0,173866506
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;67,86786787;3,903903904;63,96396396;1727,027027;2020-12-08 02.30.40;2020-12-08 01.30.51;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;50;2;2020-12-06;2020-12-07 03.00.55;5,705705706;0,978993056;63,49601952;1,259921498;-0,280928442
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;77,47747748;4,924924925;72,55255255;1958,918919;2020-12-11 00.15.16;2020-12-11 00.15.16;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;50;5;2020-12-06;2020-12-08 02.30.40;3,903903904;2,905972222;25,3180581;3,1598;-0,253827778
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;90,21021021;3,243243243;86,96696697;2348,108108;2020-12-17 00.43.57;2020-12-17 00.28.57;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;51;4;2020-12-13;2020-12-11 00.15.16;4,924924925;6,019918981;14,16718158;5,64685358;0,373065402
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;76,45645646;3,963963964;72,49249249;1957,297297;2020-12-19 01.58.33;2020-12-19 01.43.33;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;51;6;2020-12-13;2020-12-17 00.43.57;3,243243243;2,051805556;35,68233501;2,242005742;-0,190200187
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;70,75075075;6,246246246;64,5045045;1741,621622;2020-12-23 01.27.51;2020-12-23 01.12.51;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;52;3;2020-12-20;2020-12-19 01.58.33;3,963963964;3,978680556;16,78616462;4,765829586;-0,787149031
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;63,48348348;3,063063063;60,42042042;1631,351351;2020-12-24 11.57.27;2020-12-24 11.57.27;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;52;4;2020-12-20;2020-12-23 01.27.51;6,246246246;1,437222222;39,82490415;2,008793284;-0,571571062
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;81,98198198;7,627627628;74,35435435;2007,567568;2020-12-26 03.42.05;2020-12-26 03.12.05;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;52;6;2020-12-20;2020-12-24 11.57.27;3,063063063;1,65599537;47,65648524;1,678680238;-0,022684868
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;79,15915916;6,066066066;73,09309309;1973,513514;2020-12-27 00.56.52;2020-12-27 00.11.54;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;52;7;2020-12-20;2020-12-26 03.42.05;7,627627628;0,885266204;80,80228437;0,990071019;-0,104804815
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;96,33633634;3,363363363;92,97297297;2510,27027;2020-12-29 01.11.32;2020-12-29 01.11.32;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;53;2;2020-12-27;2020-12-27 00.56.52;6,066066066;2,010185185;44,90644491;1,781481481;0,228703704
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;73,81381381;3,063063063;70,75075075;1910,27027;2020-12-31 02.56.08;2020-12-31 02.41.08;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;53;4;2020-12-27;2020-12-29 01.11.32;3,363363363;2,072638889;33,99070182;2,353584825;-0,280945936
04ed0348d938b5f7088b06e5ac907f9e;41079850-2e45-11eb-8146-0d9ba6279c4f;82,49775426;4,122917983;78,37483628;2507,994761;2020-12-01 08.06.30;2020-12-01 07.51.30;EMPTY_BASED_ON_DATA;1002;Paper;RosRoca-3200L;Latina;0;1816,909697;1816,909697;3200;1760;40,40492856;-3,743256912;40.4049285631515, -3.74325691187153;49;2;2020-11-29;;;;;;
