serial_no;container_id;fill_before_serviced;fill_after_serviced;fill_drop;volume_emptied;adjusted_service_ts;original_service_ts;detected_by;container_name;content_type;container_type;location;device_offset;total_distance;capacity_height;capacity_volume;width;latitude;longitude;coordinates;week_num;day_of_week;week_start_date;prev_service_ts;prev_fill_after_serviced;time_diff_days;fill_rate_per_day;days_to_full;days_overflowing
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;82,82282282;3,723723724;79,0990991;2135,675676;2021-01-02 02.55.43;2021-01-02 01.55.44;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;53;6;2020-12-27;;;;;;
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;63,96396396;4,444444444;59,51951952;1607,027027;2021-01-04 01.40.32;2021-01-04 01.25.32;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;1;1;2021-01-03;2021-01-02 02.55.43;3,723723724;1,947789352;30,92749233;2,586695331;-0,638905979
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;86,24624625;4,624624625;81,62162162;2203,783784;2021-01-05 23.24.59;2021-01-05 23.09.59;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;1;2;2021-01-03;2021-01-04 01.40.32;4,444444444;1,905868056;42,92102046;1,863888583;0,041979473
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;47,14714715;4,444444444;42,7027027;1152,972973;2021-01-07 02.39.47;2021-01-07 02.24.47;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;1;4;2021-01-03;2021-01-05 23.24.59;4,624624625;1,135277778;37,45561074;2,135861582;-1,000583804
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;50,81081081;1,321321321;49,48948949;1336,216216;2021-01-08 02.39.33;2021-01-08 01.54.45;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;1;5;2021-01-03;2021-01-07 02.39.47;4,444444444;0,999837963;46,37388065;1,725109024;-0,725271061
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;91,35135135;0;91,35135135;2466,486486;2021-01-19 01.22.28;2021-01-19 00.37.34;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;3;2;2021-01-17;2021-01-08 02.39.33;1,321321321;10,94646991;8,224572012;9,726949911;1,219519996
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;63,6036036;1,681681682;61,92192192;1671,891892;2021-01-21 05.07.03;2021-01-21 04.07.11;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;3;4;2021-01-17;2021-01-19 01.22.28;0;2,155960648;29,50128225;2,711746538;-0,555785889
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;82,16216216;3,783783784;78,37837838;2116,216216;2021-01-26 01.06.10;2021-01-26 00.36.10;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;4;2;2021-01-24;2021-01-21 05.07.03;1,681681682;4,832719907;16,65324745;4,803867848;0,028852059
024485bb08c527fe2a49f20f1ca278ae;11dc21e0-2576-11eb-8d79-62081b65966e;79,0990991;5,525525526;73,57357357;1986,486486;2021-01-29 02.50.31;2021-01-29 02.50.31;EMPTY_BASED_ON_DATA;1204;Paper;Igloo Agora - Top installation;Usera;0;1665;1665;2700;1367;40,3836365;-3,7059818;40.3836365, -3.70598180000002;4;5;2021-01-24;2021-01-26 01.06.10;3,783783784;3,072465278;24,51299153;3,263575558;-0,19111028
04ed0348d938b5f7088b06e5ac907f9e;41079850-2e45-11eb-8146-0d9ba6279c4f;69,45362772;0,27022238;69,18340534;2213,868971;2021-01-02 07.39.31;2021-01-02 07.39.31;EMPTY_BASED_ON_DATA;1002;Paper;RosRoca-3200L;Latina;0;1816,909697;1816,909697;3200;1760;40,40492856;-3,743256912;40.4049285631515, -3.74325691187153;53;6;2020-12-27;;;;;;
