Location;Number of Containers;Number of Services;Total Volume Emptied;Avg Fill at Service;Avg Days Between Services;Avg Daily Fill Rate;Avg Days to Full;Avg Days Overflowing
Usera;15;181;346890,8108;0,78905646;2,305543011;34,93074604;2,771838721;-0,46629571
Chamberí;8;105;265610,5205;0,840445984;1,427570153;69,36786155;2,64049101;-1,212920857
Barajas;5;61;110062,7027;0,740058091;1,500304318;51,17490317;2,94480326;-1,444498942
Retiro;23;491;951801,0811;0,809450591;1,16928996;82,1937756;1,745774183;-0,576484223
Villaverde;15;150;296460;0,80237037;2,842930624;28,09902688;5,080924133;-2,237993509
San Blas - Canillejas;5;45;75707,02703;0,667587588;2,609506267;32,019559;4,024234929;-1,414728662
Salamanca;28;583;1084208,108;0,78425458;1,153172043;86,3996992;2,385664938;-1,232492895
Chamartín;10;243;467388,6486;0,799710822;1,144604998;65,75837659;0,5743067;0,570298298
Latina;19;335;770243,1103;0,767499469;1,504770709;56,73311914;1,824283311;-0,319512602
Puente de Vallecas;15;194;357030,8108;0,739295997;2,175726466;37,38325051;0,514010022;1,661716444
Tetuán;11;261;645932,6907;0,836541956;1,24428088;71,64229844;2,397262829;-1,152981949
Fuencarral-El Pardo;12;212;550172,0827;0,859872476;1,179474248;76,98679201;1,181153078;-0,00167883
Centro;18;813;1919992,026;0,78579527;0,61060617;136,2288575;0,674999977;-0,064393807
Villa de Vallecas;10;138;215458,3784;0,706358532;2,048523401;43,61069255;3,794859434;-1,746336032
Arganzuela;15;340;641880;0,773243243;1,247966797;66,02440374;4,722190683;-3,474223885
Carabanchel;14;178;335901,0811;0,790127206;2,412174726;33,93031312;2,876222646;-0,46404792
Moncloa-Aravaca;12;260;607535,736;0,78418554;1,329626176;62,15032727;1,605681608;-0,276055432
Hortaleza;5;97;151780,5405;0,656512182;1,576561871;44,0453222;2,4540445;-0,877482629
Ciudad Lineal;5;101;176477,8378;0,740255107;1,457597777;50,82170015;1,852755924;-0,395158147
Vicálvaro;5;110;196814,5946;0,725045045;1,393801698;56,730298;2,143087798;-0,749286101
