Location;Number of Containers;Number of Services;Total Volume Emptied;Avg Fill at Service;Avg Days Between Services;Avg Daily Fill Rate;Avg Days to Full;Avg Days Overflowing
Usera;15;132;252032,4324;0,778737829;2,992532193;35,0560603;3,430348325;-0,437816131
Chamberí;8;130;334530,732;0,852187735;1,541591576;75,47731613;3,288166727;-1,746575151
Barajas;5;34;67247,02703;0,808708709;2,740787037;40,78292454;3,114265964;-0,373478927
Retiro;23;382;752537,8378;0,812019873;1,43181077;70,50852411;3,353528118;-1,921717348
Villaverde;15;106;218104,8649;0,828834495;3,654367035;29,01207455;3,850819736;-0,196452701
San Blas - Canillejas;5;31;54865,94595;0,688172043;3,783276749;32,24372646;4,759557354;-0,976280605
Salamanca;28;407;765209,1892;0,781112808;1,568052339;73,01905298;2,748719875;-1,180667536
Chamartín;10;154;298435,1351;0,81038181;1,48682696;64,07539428;3,919591923;-2,432764963
Latina;19;286;635791,2158;0,733772609;1,835157891;53,58080945;2,229859357;-0,394701466
Puente de Vallecas;15;150;285421,6216;0,756444444;2,749019863;37,81586671;3,235528109;-0,486508246
Tetuán;11;202;519889,4315;0,831339667;1,50971695;72,84605423;2,004320606;-0,494603656
Fuencarral-El Pardo;12;219;528134,7375;0,800250424;1,659511596;67,95311947;1,888465086;-0,228953489
Centro;18;624;1497619,686;0,786200091;0,80036383;133,0306292;0,884964669;-0,084600839
Villa de Vallecas;10;101;169931,3514;0,72042934;2,604963624;39,68493843;7,895017795;-5,290054171
Arganzuela;15;264;512187,5676;0,795748021;1,622091481;61,64681475;5,872112598;-4,250021117
Carabanchel;14;126;234972,973;0,766828733;3,289025608;33,19371763;3,928230125;-0,639204518
Moncloa-Aravaca;12;180;386950,1644;0,757353562;1,877926725;55,29170899;2,741404195;-0,86347747
Hortaleza;5;63;103667,027;0,690700224;2,383493175;38,4701365;4,044875644;-1,661382468
Ciudad Lineal;5;56;104787,5676;0,775182325;2,331558869;44,85982957;3,457033778;-1,125474909
Vicálvaro;5;69;137978,9189;0,791965879;2,205906395;48,86282934;0,452407836;1,753498559
