Location;<50%;50%-80%;>80%
Usera;0,077348066;0,370165746;0,552486188
Latina;0,119402985;0,328358209;0,552238806
Puente de Vallecas;0,128865979;0,396907216;0,474226804
Tetuán;0,057471264;0,176245211;0,766283525
Salamanca;0,072041166;0,325900515;0,602058319
Fuencarral-El Pardo;0,037735849;0,141509434;0,820754717
Barajas;0,049180328;0,540983607;0,409836066
Centro;0,087330873;0,311193112;0,601476015
Villa de Vallecas;0,18115942;0,405797101;0,413043478
Arganzuela;0,114705882;0,264705882;0,620588235
Chamberí;0,066666667;0,057142857;0,876190476
Chamartín;0,065843621;0,275720165;0,658436214
Carabanchel;0,04494382;0,387640449;0,56741573
Moncloa-Aravaca;0,103846154;0,288461538;0,607692308
Villaverde;0,066666667;0,28;0,653333333
Retiro;0,063136456;0,274949084;0,66191446
Hortaleza;0,206185567;0,556701031;0,237113402
San Blas - Canillejas;0,266666667;0,422222222;0,311111111
Ciudad Lineal;0,118811881;0,425742574;0,455445545
Vicálvaro;0,118181818;0,454545455;0,427272727
