Location;<50%;50%-80%;>80%
Usera;0,106060606;0,310606061;0,583333333
Latina;0,143356643;0,388111888;0,468531469
Puente de Vallecas;0,146666667;0,353333333;0,5
Tetuán;0,059405941;0,178217822;0,762376238
Salamanca;0,078624079;0,361179361;0,56019656
Fuencarral-El Pardo;0,068493151;0,273972603;0,657534247
Barajas;0;0,411764706;0,588235294
Centro;0,100961538;0,304487179;0,594551282
Villa de Vallecas;0,148514851;0,455445545;0,396039604
Arganzuela;0,071969697;0,310606061;0,617424242
Chamberí;0,053846154;0,092307692;0,853846154
Chamartín;0,058441558;0,246753247;0,694805195
Carabanchel;0,119047619;0,30952381;0,571428571
Moncloa-Aravaca;0,138888889;0,333333333;0,527777778
Villaverde;0,028301887;0,245283019;0,726415094
Retiro;0,078534031;0,235602094;0,685863874
Hortaleza;0,174603175;0,523809524;0,301587302
San Blas - Canillejas;0,258064516;0,35483871;0,387096774
Ciudad Lineal;0,071428571;0,357142857;0,571428571
Vicálvaro;0,101449275;0,289855072;0,608695652
